query_id,customer_text,source_timestamp,source_split,gold_intent,intent_annotation_method,expected_resolution,resolution_source,resolution_confidence,gold_retrieval_relevance,gold_auto_handle_decision,decision_reason,difficulty,annotation_source,human_reviewed
software_issue_000,@AppleSupport I tried the itunes one but i got an error while downloading the update why?,,validation,software_issue,candidate_label,"@643246 OK, what was the specific error message that you see when you attempt to update via iTunes?",historical_response,0.85,,,,easy,automated,False
software_issue_001,"@AppleSupport It sucks when wifi turns itself on without asking me when i can but I don't want to connect to wifi. 
I'm tired of turning off wifi rapidly all day long!
Please fix this bug in nex update",,validation,software_issue,candidate_label,"@771066 To turn off Wi-Fi, tap Settings &gt; Wi-Fi &gt; toggle off. You can read more about this here: https://t.co/G7BHuQnDS6",historical_response,0.85,,,,easy,automated,False
software_issue_002,"@115858 I recently updated to 11.1.1, and I still have the bug. HELP PLEASE!",,validation,software_issue,candidate_label,@679443 We know how troublesome the autocorrect concerns are and we want to have this working as soon as possible for you. Let's chat in Direct Message. https://t.co/GDrqU22YpT,historical_response,0.85,,,,easy,automated,False
software_issue_003,@115858 Newest High Whatever Update made 2 of my iMacs crash. This totally sucks. I'm out 2 flipping computers now. Thanks for disabling several thousand dollars worth of computer equipment I bought from you. It looks like Samsung is now on the Christmas List.,,validation,software_issue,candidate_label,@732867 Send us a DM. Let us know more details about the issue and we'll do our best to help. Also include the country you're located in. https://t.co/GDrqU22YpT,historical_response,0.85,,,,easy,automated,False
software_issue_004,"@AppleSupport Hey guys. my 6s iphone crashed for the second time even when updating the last IOS firmware 11.1.1
what should I do. I had enough",,validation,software_issue,candidate_label,@719353 We'd be happy to assist you. Is it stuck on the Apple screen? Is it completely unresponsive and will not power on at all? DM us more details and we'll go from there. https://t.co/GDrqU22YpT,historical_response,0.85,,,,easy,automated,False
software_issue_005,"@AppleSupport
Kindly help me my iPad Air2 updated to IOS 11.1.1 and suddenly freezed and kept restarting again &amp; again!!
Did a recovery through iTunes fixed the problem for 24hrs then did it again now
Help plz my personal data are lost once now lost again",,validation,software_issue,candidate_label,"@713088 Thanks for reaching out and providing detailed information.  We want to help.  We have some questions to better assist you.  When you set up your iPad Air 2, did you set it up as new or from a",historical_response,0.85,,,,easy,automated,False
software_issue_006,"Has @AppleSupport fixed the iOS 11 bug with the word ""l"" yet?",,validation,software_issue,candidate_label,"@757364 We recently released an iOS update, that contains a fix for autocorrect issues. Let’s be sure to back up your device prior to updating. How to back up: https://t.co/4f8hwT5to6",historical_response,0.85,,,,medium,automated,False
software_issue_007,Convinced @115858 iOS updates last two rounds were to initiate glitches in phone software for release of X. My 6s Plus freezes/hangs at least once a day and storage is not the problem.,,validation,software_issue,candidate_label,@710403 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,historical_response,0.85,,,,easy,automated,False
software_issue_008,I thought iOS 11.1.1 was supposed to fix the “I” bug? @AppleSupport @115858 https://t.co/ujIaFsF5Kl,,validation,software_issue,candidate_label,"@788964 We'll be happy to look into this with you. To confirm, are you seeing the issue on the messages you are typing or other people's messages? For other's people messages to show correctly, they t",historical_response,0.85,,,,medium,automated,False
software_issue_009,@AppleSupport I have a iphone 6s and an iOS 11 and my phone keep crashing i have try to reset my phone and it’s still doing it and i have turned off my phone 4 times already.,,validation,software_issue,candidate_label,@695764 Thanks for providing that for us. Can you confirm which version of iOS 11 you're using? This can be located in Settings &gt; General &gt; About &gt; Version.,historical_response,0.85,,,,easy,automated,False
software_issue_010,@AppleSupport tried updating to High Sierra on my MacBook Pro and it had this error message during reboot and now stuck on a loop to this same message every time I restart!! Don’t even want to update anymore just want access to my laptop. https://t.co/GQK9akH6cj,,validation,software_issue,candidate_label,@723559 We are glad you reached out so that we can help you get back into your MacBook and install macOS High Sierra properly. Meet up with us in Direct Message so we can go through a few steps to mak,historical_response,0.85,,,,easy,automated,False
software_issue_011,@AppleSupport  somehow with you three updates in the past month you have now managed to kill the great quality the iPhone 8 Plus had in their speakers. Now it sounds trashy and not even half the volume that’s not counting all the crashes and freezes,,validation,software_issue,candidate_label,@266978 This is certainly not the behavior we want you to experience. You're in great hands for support. Let's look into this together. Could you DM us which iOS 11 version you're using? Here's a link,historical_response,0.85,,,,easy,automated,False
software_issue_012,@115858 ...can we please update this iOS and get of the annoying “I” error. It’s 2017. We have to be able to solve this now!,,validation,software_issue,candidate_label,"@672361 We want your keyboard working for you; we'll do all we can to help. To start, we released iOS 11.1.1 which is meant to address this issue. If you haven't already, let's update with these steps",historical_response,0.85,,,,easy,automated,False
software_issue_013,@115858 iOS 11.1.2 is extremely buggy and I’m about to twist my iPhone into two separate pieces!!!!,,validation,software_issue,candidate_label,"@776319 We want you to be able to enjoy using your iPhone. In DM, please share a few details with us about the issues you're experiencing. https://t.co/GDrqU22YpT",historical_response,0.85,,,,medium,automated,False
software_issue_014,"Ever since i updated to the latest ios my ipad constantly crashes :( and i hate that theyve changed all the symbols around on the keyboard.. why? Its so annoying and confusing, keep making mistakes coz so used to where they were and now youves moved them for no reason. Ugh @115858",,validation,software_issue,candidate_label,"@222245 We want things working right for you, so please let us help.  Regarding the crashing, does your iPad freeze, or shut down?  What exactly happens?  

Also, which iPad do you have and what iOS v",historical_response,0.85,,,,easy,automated,False
software_issue_015,"ever since i updated my iPhone 6 to iOS 11, my phone has been freezing at least 5 times a day and at least crashes once a day.

thanks @115858 @applesupport",,validation,software_issue,candidate_label,"@691426 That's not normal and we can help. Do you know what version of the iOS is on the device?  If not, you can check under Settings &gt; General &gt; About &gt; Version. 

Are you seeing this issue",historical_response,0.85,,,,easy,automated,False
software_issue_016,"@AppleSupport Thanks! Yes, I am fully updated. My phone freezes a lot when using twitter, google chrome, and podcasts.",,validation,software_issue,candidate_label,@660912 No problem. We love being able to assist. Is it slow to respond or does the display become completely unresponsive? Let us know the answer in DM. https://t.co/GDrqU22YpT,historical_response,0.85,,,,easy,automated,False
software_issue_017,@115858 @116333 iMessage crashing in iOS 11.1.1 @AppleSupport @11531 https://t.co/OA1FoUeXcn,,validation,software_issue,candidate_label,@274121 Thanks for reaching out to us on this. Please send us a DM with more details and we can assist further. https://t.co/GDrqU22YpT,historical_response,0.85,,,,easy,automated,False
software_issue_018,#iOS 11.1.2 is just buggy @115858 du release 11.2 soon...,,validation,software_issue,candidate_label,@757598 What kind of bugs are you having? We want to help fix them with you here.,historical_response,0.85,,,,medium,automated,False
software_issue_019,Dear @115858 @AppleSupport why does my Bluetooth and WiFi automatically switches on? Is this a bug on the iOS11?,,validation,software_issue,candidate_label,"@765168 We'd like to help. Are you toggling Wi-Fi and Bluetooth from the Control Center on your device, or are you doing it from Settings? Wi-Fi and Bluetooth work a little differently with the Contro",historical_response,0.85,,,,medium,automated,False
software_issue_020,Hello @AppleSupport - your new iOS has crashed my brand new iPhone &amp; I can't get in for tech support for several days!  Can you assist?,,validation,software_issue,candidate_label,"@711873 Hey Lynda! We absolutely would like to look into this with you. Can you send us a DM letting us know what iPhone model you're using, as well as which iOS 11 version you have installed? https:/",historical_response,0.85,,,,easy,automated,False
software_issue_021,@AppleSupport the a[?] bug is in iMessage for MacOS High Sierra as well. On the receive side. https://t.co/xKU06JYrmF,,validation,software_issue,candidate_label,@764474 Thanks for reaching out. Do you ever see this when you send out a message?,historical_response,0.85,,,,medium,automated,False
software_issue_022,"@AppleSupport even after enabling mobile data getting below error.. occurring after updating to iOS 11.1.2
Please help !! @116329 https://t.co/Ynw36RnOll",,validation,software_issue,candidate_label,@776013 That should not be happening. Let us help. Tell us more about this in DM. https://t.co/GDrqU22YpT,historical_response,0.85,,,,easy,automated,False
software_issue_023,"@AppleSupport For 22 hours my phone finally unfreezed, to refreeze once again 🙄 1st time i could reboot, 2nd time i had to wait till battery died, whats wrong with ios 11.1.1?",,validation,software_issue,candidate_label,@700021 We want you to be able to rely on your iPhone. Join us in DM with more details and your current location. We're here for you. https://t.co/GDrqU22YpT,historical_response,0.85,,,,easy,automated,False
software_issue_024,@AppleSupport trying to install new OS High Sierra on MacBook Pro. Won't allow me past macOS Utilities. Can't log my problem as I need my serial number which isn't accessible as I can't get into my Mac! Non of your genius bars have available times. What's going on??,,validation,software_issue,candidate_label,@691452 We've got your back! What's happening on your Mac when you try to install High Sierra? Are you getting any specific error messages?,historical_response,0.85,,,,medium,automated,False
